asset_id,submitter_id,nacc_id,land_doc_number,rai,ngan,sq_wa,sub_distirict,distirict,province,latest_submitted_date
2616,40,62,114172,0,0,28,คลองตัน,พระโขนง,กรุงเทพมหานคร,2022-12-13
2617,40,62,114173,0,0,28,คลองตัน,พระโขนง,กรุงเทพมหานคร,2022-12-13
2618,40,62,114174,0,0,28,คลองตัน,พระโขนง,กรุงเทพมหานคร,2022-12-13
2619,40,62,23111,0,0,52.5,บึงกุ่ม,บึงกุ่ม,กรุงเทพมหานคร,2022-12-13
2620,40,62,62167,0,1,17,ดอกไม้,พระโขนง,กรุงเทพมหานคร,2022-12-13
2621,40,62,16157,0,2,60,คลองตัน,พระโขนง,กรุงเทพมหานคร,2022-12-13
2622,40,62,114175,0,0,28,คลองตัน,พระโขนง,กรุงเทพมหานคร,2022-12-13
2745,80,63,20288,2,0,0,,พัฒนานิคม,ลพบุรี,2022-12-13
2746,80,63,40132,1,0,0,,ไทรน้อย,นนทบุรี,2022-12-13
2747,80,63,39128,2,0,0,,ไทรน้อย,นนทบุรี,2022-12-13
2748,80,63,15853,0,0,98,,หนองแขม,กรุงเทพมหานคร,2022-12-13
2749,80,63,15854,0,0,98,,หนองแขม,กรุงเทพมหานคร,2022-12-13
2750,80,63,15842,0,1,66,,หนองแขม,กรุงเทพมหานคร,2022-12-13
2751,80,63,15843,0,1,68,,หนองแขม,กรุงเทพมหานคร,2022-12-13
2773,41,168,18157,0,0,9,บางพลีใหญ่,บางพลี,สมุทรปราการ,2022-12-29
2774,41,168,36637,1,1,40,หนองปรือ,บางละมุง,ชลบุรี,2022-12-29
2775,41,168,25517,4,2,40.4,,วังน้อย,พระนครศรีอยุธยา,2022-12-29
2776,41,168,18443,0,0,11.8,,ดุสิต,กรุงเทพมหานคร,2022-12-29
2817,67,1550,19312,0,0,18,,,,2023-02-24
2818,67,1550,39848,26,0,65,,,,2023-02-24
2819,67,1550,14000,0,0,0,,,,2023-02-24
2822,68,1587,,248,2,2,หนองหัวแรด,หนองบุญมาก,นครราชสีมา,2023-04-05
2823,68,1587,,14,1,60,กุดโบสถ์,เสิงสาง,นครราชสีมา,2023-04-05
2824,68,1587,2513,8,3,50,กุดโบสถ์,ครบุรี,นครราชสีมา,2023-04-05
2825,68,1587,,5,0,87,กุดโบสถ์,เสิงสาง,นครราชสีมา,2023-04-05
2826,68,1587,26444,0,0,50,ปรุใหญ่,เมืองนครราชสีมา,นครราชสีมา,2023-04-05
2827,68,1587,,10,3,91,กุดโบสถ์,เสิงสาง,นครราชสีมา,2023-04-05
2828,68,1587,,18,2,84,,ครบุรี,นครราชสีมา,2023-04-05
2829,68,1587,,5,2,85,ปลายบางนางลี่,อัมพวา,สมุทรสงคราม,2023-04-05
2830,68,1587,,10,2,81,กุดโบสถ์,เสิงสาง นครราชสีมา 13-ต.ค .- 59 ต.ปากช่อง อ.ปากช่อง,นครราชสีมา,2023-04-05
2831,68,1587,,0,2,0,,,,2023-04-05
2832,68,1587,,7,0,0,กุดโบสถ์,เสิงสาง,นครราชสีมา,2023-04-05
2833,68,1587,,10,0,0,กุดโบสถ์,เสิงสาง,นครราชสีมา,2023-04-05
2834,68,1587,,18,3,0,ทุ่งอรุณ,โชคชัย,นครราชสีมา,2023-04-05
2835,68,1587,,10,1,3,เสียว,กันทรลักษณ์,ศรีสะเกษ,2023-04-05
2861,42,663,4397,53,3,49,,บางปะอิน,พระนครศรีอยุธยา,2023-06-07
2862,42,663,30710,2,1,9,ลำไทร,วังน้อย,พระนครศรีอยุธยา,2023-06-07
2863,42,663,20429,0,1,29,ปากเกร็ด,ปากเกร็ด,นนทบุรี,2023-06-07
2864,42,663,20430,1,2,4,เกาะเรียน,ปากเกร็ด,นนทบุรี,2023-06-07
2865,42,663,10983,2,0,62,เกาะเรียน,พระนครศรีอยุธยา,พระนครศรีอยุธยา,2023-06-07
2866,42,663,10568,0,3,19,เกาะเรียน,พระนครศรีอยุธยา,พระนครศรีอยุธยา,2023-06-07
2867,42,663,10983,2,0,62,,พระนครศรีอยุธยา,พระนครศรีอยุธยา,2023-06-07
2868,42,663,10568,0,3,19,เกาะเรียน,พระนครศรีอยุธยา,พระนครศรีอยุธยา,2023-06-07
2889,81,1807,8281,0,2,14,ทุ่งสองห้อง,หลักสี่,กรุงเทพมหานคร,2023-06-06
2890,81,1807,4005,0,0,26,ทุ่งสองห้อง,หลักสี่,กรุงเทพมหานคร,2023-06-06
2891,81,1807,8283,0,1,12.5,ทุ่งสองห้อง,หลักสี่,กรุงเทพมหานคร,2023-06-06
2892,81,1807,4006,0,1,36.6,ทุ่งสองห้อง,หลักสี่,กรุงเทพมหานคร,2023-06-06
2893,81,1807,110310,0,2,7.5,คอกกระบือ,เมืองสมุทรสาคร,สมุทรสาคร,2023-06-06
2894,81,1807,379,0,0,18,บางพลัด,บางกอกน้อย,กรุงเทพมหานคร,2023-06-06
2895,81,1807,14155,0,0,5.9,บางพลัด,บางกอกน้อย,กรุงเทพมหานคร,2023-06-06
2896,81,1807,14157,0,0,4.8,บางพลัด,บางกอกน้อย,กรุงเทพมหานคร,2023-06-06
2897,81,1807,34115,0,0,13,บางพลัด,บางกอกน้อย,กรุงเทพมหานคร,2023-06-06
2898,81,1807,34116,0,0,13,บางพลัด,บางกอกน้อย,กรุงเทพมหานคร,2023-06-06
