nacc_id,statement_type_id,valuation_submitter,submitter_id,valuation_spouse,valuation_child,latest_submitted_date
62,1,4963378.22,40,26829714.25,52308.97,2022-12-13
62,2,15845100,40,35086229.03,2220446,2022-12-13
62,3,1362720,40,16726000,,2022-12-13
62,4,240075840.74,40,285301840.83,10655058.79,2022-12-13
62,5,45149407.88,40,81289886.34,,2022-12-13
63,1,3157814,80,10840000,,2022-12-13
63,2,1252170,80,375000,,2022-12-13
63,3,1601824.87,80,418890.62,,2022-12-13
63,4,31295988.7,80,58546225.18,,2022-12-13
63,5,842670,80,,,2022-12-13
168,3,1681900.61,41,1200000,,2022-12-29
168,4,51030374.1,41,49155621.89,102319251,2022-12-29
1550,3,,67,8500,,2023-02-24
1550,4,,67,16800919,,2023-02-24
1587,1,163662920,68,60277960,,2023-04-05
1587,2,5525440,68,4172720,,2023-04-05
1587,3,1362720,68,986360,,2023-04-05
1587,4,247437171.01,68,205042003.46,,2023-04-05
1587,5,,68,36585979.83,,2023-04-05
663,1,1408971.92,42,546573.86,,2023-06-07
663,2,156000,42,102000,,2023-06-07
663,4,277909923.28,42,64988071.12,,2023-06-07
663,5,,42,76615.54,,2023-06-07
1807,1,1362720,81,961290,,2023-06-06
1807,2,3925440,81,31922580,,2023-06-06
1807,3,1362720,81,961290,,2023-06-06
1807,4,150961768.04,81,1430647465.65,,2023-06-06
1807,5,15364.82,81,418422216.07,,2023-06-06
1702,1,1362720,75,994705,,2023-06-12
1702,2,1618636,75,1362720,,2023-06-12
1702,3,1362720,75,994705,,2023-06-12
1702,4,32970377.85,75,49013408.98,,2023-06-12
1702,5,3865360.2,75,5514614.2,,2023-06-12
292,1,5212830,44,2241952,,2023-06-15
292,2,4079232,44,455000,,2023-06-15
292,3,3388880,44,1811952,,2023-06-15
292,4,33331601.04,44,24693528.33,,2023-06-15
292,5,5704117.61,44,2308.17,,2023-06-15
428,1,2217228,45,,,2023-06-12
428,2,1280000,45,,,2023-06-12
428,3,1790028,45,,,2023-06-12
428,4,13036195.29,45,,,2023-06-12
1913,1,2820000,82,2400000,,2023-06-27
1913,2,,82,1101000,,2023-06-27
1913,3,2820720,82,3587256.26,,2023-06-27
1913,4,397360416.08,82,5160127.05,,2023-06-27
1913,5,10131374.11,82,,,2023-06-27
907,1,2568670,53,343475.56,,2023-06-27
907,2,735810,53,214910,,2023-06-27
907,3,1368670,53,318475.56,,2023-06-27
907,4,4577610.71,53,3747466.59,,2023-06-27
674,1,4351898.56,47,,,2019-10-15
674,2,2770700,47,,,2019-10-15
674,4,535003482.89,47,,,2019-10-15
674,5,50309762.26,47,,,2019-10-15
727,1,45829275.04,48,,,2019-10-15
727,2,4115931.59,48,,,2019-10-15
727,5,,48,50255070.3,,2019-10-15
1742,1,232800,76,,,2019-10-15
1742,4,950000,76,,,2019-10-15
818,1,,50,9112002.95,,2019-10-15
818,2,,50,34796864,,2019-10-15
818,4,,50,267271.362,4098446.75,2019-10-15
818,5,,50,34755584.96,,2019-10-15
902,1,3217937.18,56,680000,,2019-10-15
902,2,600000,56,680000,,2019-10-15
902,4,8930.2,56,180000,,2019-10-15
902,5,22954064,56,,,2019-10-15
885,1,,57,982995.5,,2019-10-15
885,2,,57,719225,,2019-10-15
885,4,,57,24186176.74,,2019-10-15
1970,1,,65,300000,,2019-10-15
1970,4,,65,169858294.49,,2019-10-15
2420,1,4113503.23,73,,,2022-02-10
2420,2,62551678.22,73,2421636,2999455.24,2022-02-10
2420,3,3110315.16,73,,,2022-02-10
2420,4,606657059.36,73,38067208.35,58200395.82,2022-02-10
2420,5,145433890,73,21482534,,2022-02-10
2434,1,34728294.59,74,2508804.27,,2021-12-15
2434,2,53595580.02,74,5054297.04,,2021-12-15
2434,4,40442787.61,74,180730670.89,,2021-12-15
2434,5,27892.92,74,117153.32,,2021-12-15
2445,1,,78,470000,,2019-10-15
2445,2,,78,1500000,,2019-10-15
2445,4,,78,131434016.02,,2019-10-15
2448,1,,66,9400000,,2019-10-15
2448,2,850000,66,2900000,,2019-10-15
2448,4,129994419.31,66,93706038.6,,2019-10-15
2448,5,,66,2830290.5,,2019-10-15
