nacc_id,submitter_id,statement_detail_type_id,index,detail,valuation_submitter,valuation_spouse,valuation_child,note,latest_submitted_date
62,40,1,1,เงินประจำตำแหน่ง,854760,14800000,,,2022-12-13
62,40,1,2,เงินเพิ่ม,507960,14800000,,,2022-12-13
62,40,1,3,ค่าเบี้ยประชุม,507960,1230000,,,2022-12-13
62,40,2,1,ดอกเบี้ยเงินฝากธนาคาร,5025.28,22245.92,52308.97,,2022-12-13
62,40,2,2,ดอกเบี้ยเงินกู้ยืม,2215000,22245.92,,,2022-12-13
62,40,3,1,เงินได้จากบุพการี (มารดา),,10000000,,,2022-12-13
62,40,3,2,ทรัพย์สินจากบุพการี (มารดา),505000,,,,2022-12-13
62,40,5,1,เงินปันผล LTF / SSF,34495.77,18718.33,,,2022-12-13
62,40,5,2,เงินจ่ายคืนประกัน,47000,18718.33,,,2022-12-13
62,40,5,3,ขายกองทุน,429137.17,,,,2022-12-13
62,40,6,1,ค่าใช้จ่ายอุปโภค บริโภค,3120000,9000000,,,2022-12-13
62,40,6,2,ค่าเบี้ยประกัน,313900,365058.5,,,2022-12-13
62,40,6,3,ค่าผ่อนบ้าน,11411200,19255950,,,2022-12-13
62,40,6,4,ค่าผ่อนรถ,,1178520,,,2022-12-13
62,40,7,1,ค่าท่องเที่ยว,900000,2700000,,,2022-12-13
62,40,7,2,เงินบริจาค :,100000,2392000,,,2022-12-13
62,40,7,3,ค่าสมาชิกรายปี และค่าใช้จ่ายอื่น ๆ รายปี,,194700.53,,,2022-12-13
62,40,8,1,เงินสด,4200000,250000,,,2022-12-13
62,40,9,1,เงินฝาก,2071816.48,5182208.9,7040441.62,,2022-12-13
62,40,10,1,เงินลงทุน,11736412.86,4178925.42,,,2022-12-13
62,40,11,1,เงินให้กู้ยืม,45362294.52,,,,2022-12-13
62,40,12,1,ทรัพย์สิน,32077500,117565000,,,2022-12-13
62,40,13,1,โรงเรือนและสิ่งปลูกสร้าง,111206460,8736620,,,2022-12-13
62,40,14,1,ยานพาหนะ,2818900,11998000,,,2022-12-13
62,40,15,1,สิทธิและสัมปทาน,10173084.88,7525666.51,3614617.17,,2022-12-13
62,40,16,1,ทรัพย์สินอื่น,20429372,129865420,,,2022-12-13
62,40,18,1,เงินกู้จากธนาคารและสถาบันการเงินอื่น,45149407.88,15048957.34,,,2022-12-13
62,40,19,1,หนี้สินที่มีหลักฐานเป็นหนังสือ,,3240929,,,2022-12-13
62,40,20,1,หนี้สินอื่น,,63000000,,,2022-12-13
63,80,1,1,เงินเดือน,1477814,,,,2022-12-13
63,80,1,2,ค่าเบี้ยประชุม,1477814,,,,2022-12-13
63,80,1,3,คาตอบแทน TTB,220000,,,,2022-12-13
63,80,2,1,ค่าเช่าอาคาร,,180000,,,2022-12-13
63,80,2,2,ค่าเช่าที่ดิน,,100000,,,2022-12-13
63,80,2,3,ดอกเบี้ยเงินฝากธนาคาร,670000,100000,,,2022-12-13
63,80,2,4,เงินปันผลหุ้น,670000,480000,,,2022-12-13
63,80,3,1,รับมรดก,,10000000,,,2022-12-13
63,80,6,1,ค่าใช้จ่ายอุปโภคบริโภค,300000,240000,,,2022-12-13
63,80,6,2,คาผอนรถยนต์,374520,240000,,,2022-12-13
63,80,6,3,เบี้ยประกันชีวิต,374520,75000,,,2022-12-13
63,80,6,4,เบี้ยประกันชีวิตแบบบำนาญ,106000,75000,,,2022-12-13
63,80,7,1,ค่าท่องเที่ยว,100000,30000,,,2022-12-13
63,80,7,2,เงินบริจาคการกุศล,100000,30000,,,2022-12-13
63,80,7,3,ซื้อกองทุน,100000,30000,,,2022-12-13
63,80,7,4,เงินได้พึงประเมิน ตามประมวลรัษฎากร,1601824.87,418890.62,,,2022-12-13
63,80,7,5,มาตรา 40(1)-(8),1601824.87,418890.62,,,2022-12-13
63,80,8,1,เงินสด,24247454.44,29195590.78,,,2022-12-13
63,80,9,1,เงินฝาก,24247454.44,29195590.78,,,2022-12-13
63,80,10,1,เงินลงทุน,2659890.43,3283684.4,,,2022-12-13
63,80,11,1,เงินให้กู้ยืม,,22620000,,,2022-12-13
63,80,12,1,ทรัพย์สิน,506000,22620000,,,2022-12-13
63,80,13,1,โรงเรือนและสิ่งปลูกสร้าง,,2000000,,,2022-12-13
63,80,14,1,ยานพาหนะ,1419660,200000,,,2022-12-13
63,80,15,1,สิทธิและสัมปทาน,2064983.83,566950,,,2022-12-13
63,80,16,1,ทรัพย์สินอื่น,2064983.83,566950,,,2022-12-13
63,80,20,1,หนี้สินอื่น,842670,,,,2022-12-13
168,41,8,1,เงินสด,350000,300000,,,2022-12-29
168,41,9,1,เงินฝาก,9619000.33,182087,10414618,,2022-12-29
168,41,10,1,เงินลงทุน,13905274,1016,2769043039,,2022-12-29
168,41,11,1,เงินให้กู้ยืม,105356,125866667,,,2022-12-29
168,41,12,1,ทรัพย์สิน,105356,1258666.1,,,2022-12-29
168,41,13,1,โรงเรือนและสิ่งปลูกสร้าง,131000,759600006,,,2022-12-29
168,41,14,1,ยานพาหนะ,131000,,,,2022-12-29
168,41,15,1,สิทธิและสัมปทาน,,5364646.33,919046.33,,2022-12-29
168,41,16,1,ทรัพย์สินอื่น,5924500,51250,,,2022-12-29
1550,67,8,1,เงินสด,1108621.61,,,,2023-02-24
1550,67,9,1,เงินฝาก,1108621.61,,,,2023-02-24
1550,67,12,1,ทรัพย์สิน,19000,9160000,,,2023-02-24
1550,67,13,1,โรงเรือนและสิ่งปลูกสร้าง,1000000,15000,,,2023-02-24
1550,67,14,1,ยานพาหนะ,1000000,10000,,,2023-02-24
1550,67,15,1,สิทธิและสัมปทาน,,109000,,,2023-02-24
1587,68,1,1,ค่าเช่าที่ดิน,1362720,906360,,,2023-04-05
1587,68,2,1,ขายหุ้นแต่ยังไม่ได้รับเงิน,162300200,59291600,,,2023-04-05
1587,68,6,1,ค่าอุปโภค บริโภค,1100000,550000,,,2023-04-05
1587,68,6,2,ดอกเบี้ยจ่ายเงินกู้ยืม,1100000,1600000,,,2023-04-05
1587,68,7,1,เงินบริจาค,600000,50000,,,2023-04-05
1587,68,7,3,เงินได้พึงประเมิน ตามประมวลรัษฎากร,1362720,986360,,,2023-04-05
1587,68,7,4,มาตรา 40(1)-(8),1362720,986360,,,2023-04-05
1587,68,8,1,เงินสด,450000,400000,,,2023-04-05
1587,68,9,1,เงินฝาก,892391.01,1752951.64,,,2023-04-05
1587,68,11,1,เงินให้กู้ยืม,226300200,168487433.82,,,2023-04-05
1587,68,12,1,ทรัพย์สิน,17180580,10137980,,,2023-04-05
1587,68,13,1,โรงเรือนและสิ่งปลูกสร้าง,,12160000,,,2023-04-05
1587,68,14,1,ยานพาหนะ,650000,1280000,,,2023-04-05
1587,68,16,1,ทรัพย์สินอื่น,1964000,9020000,,,2023-04-05
1587,68,17,1,เงินเบิกเกินบัญชี,,1085979.83,,,2023-04-05
1587,68,18,1,เงินกู้จากธนาคารและสถาบันการเงินอื่น,,35500000,,,2023-04-05
