asset_id,submitter_id,nacc_id,registration_number,vehicle_model,province,latest_submitted_date
2628,40,62,1กค5025,HONDA WAVE,นครราชสีมา,2022-12-13
2629,40,62,นล55,Volkswagen Caravelle Minorchange 2 ปี 2019,กรุงเทพมหานคร,2022-12-13
2630,40,62,ญภ5566,Mercedes Benz S400 Hybrid,กรุงเทพมหานคร,2022-12-13
2631,40,62,1นก1327,Mercedes Benz Sprinter 319 CDI VAN,กรุงเทพมหานคร,2022-12-13
2632,40,62,ฉบ999,Mercedes Benz C300e AMG,กรุงเทพมหานคร,2022-12-13
2633,40,62,สพ6655,Lexus,กรุงเทพมหานคร,2022-12-13
2752,80,63,ญข20,นั่งโตโยต้า อินโนวา,กทม.,2022-12-13
2753,80,63,ษย20,นั่งโตโยต้า วีออส,กทม.,2022-12-13
2754,80,63,นย20,นั่งโตโยต้า มาเจสตี้,กทม.,2022-12-13
2836,86,66,,Benz,กรุงเทพฯ,2022-12-13
2837,86,66,ชม2662,Benz,กรุงเทพฯ,2022-12-13
2838,86,66,3กฎ26,TOYOTA,กรุงเทพฯ,2022-12-13
2839,86,66,4กฉ19,Benz,กรุงเทพฯ,2022-12-13
2840,86,66,พอ3333,Volkswagen,กรุงเทพฯ,2022-12-13
2841,86,66,ชฎ8340,Nissan,กรุงเทพฯ,2022-12-13
2842,86,66,,Benz,กรุงเทพฯ,2022-12-13
2843,86,66,2กจ929,Benz,กรุงเทพฯ,2022-12-13
2844,86,66,ภูฟ929,TOYOTA,กรุงเทพฯ,2022-12-13
2845,86,66,ภช9929,TOYOTA,กรุงเทพฯ,2022-12-13
2846,86,66,ญย19,TOYOTA,กรุงเทพฯ,2022-12-13
2847,86,66,รวด1101,TOYOTA,กรุงเทพฯ,2022-12-13
2848,86,66,ภูส987,MITSUBISHI,กรุงเทพฯ,2022-12-13
2630,88,218,,SOIFie HONDA CIVIC สัจ 4554,,2023-01-20
2631,88,218,,TOYOTA กค 38,,2023-01-20
2632,88,218,,Porto HONDA ACCORD ก4554,,2023-01-20
2633,88,218,,Sorte HONDA ACCORD 2 กค 45564,,2023-01-20
2892,91,352,1กธ789A,,,2023-03-15
2893,91,352,1ขล41,,กรุงเทพฯ,2023-03-15
2909,92,354,กค/11,BENZ BENZ JEEP,,2023-03-15
2910,92,354,,JEED FORD,,2023-03-15
2911,92,354,พค3333,11 mkmy,,2023-03-15
2948,94,400,,โตโยกกี้ (พ่อจูนเนอร์) รถยนต์กระบะโตโยต้า,พิษณุโลก,2023-04-05
2949,94,400,เงค620,,,2023-04-05
2958,95,495,เข3556,นั่งส่วนบุคคล,,2023-05-01
2959,95,495,บค8888,บรรทุกส่วนบุคคล,นครสวรรค์,2023-05-01
2960,95,495,กร8282,รถผนนั่ง ส่วนบุคคล,,2023-05-01
3026,96,501,ม1151,ยี่ห้ออีซูซุ,,2023-05-01
3027,96,501,ถห9671,ยี่ห้อโตโยต้า,กรุงเทพฯ,2023-05-01
3028,96,501,กข1898,ยี่ห้อโตโยต้า,,2023-05-01
3029,96,501,ภค3116,ยี่ห้อโตโยต้า,,2023-05-01
3030,96,501,กบจ644,ยี่ห้อฮอนด้า,,2023-05-01
3031,96,501,ธ4319,ยี่ห้อฮอนด้า,,2023-05-01
3032,96,501,1กภ2495,ยี่ห้อโตโยต้า,กรุงเทพฯ,2023-05-01
3050,161,508,4-5322,,,2023-05-02
3051,161,508,48-1579,,,2023-05-02
3059,154,537,2662644,รถส่วนบุคคล,,2023-05-16
3060,154,537,,3: 1),,2023-05-16
3071,97,539,,ตายนต์ .,,2023-05-16
3072,97,539,,ภรายนต์,,2023-05-16
3073,97,539,ขยง1,,กรุงเทพฯ,2023-05-16
3074,97,539,ฮีจ7777,,กรุงเทพฯ,2023-05-16
3075,97,539,ฮล1906,.,,2023-05-16
3076,97,539,ผล3627,,,2023-05-16
3077,97,539,กฉ2,,,2023-05-16
3078,97,539,พรี4444,,กรุงเทพฯ,2023-05-16
3079,97,539,1ขส6856,,กรุงเทพฯ,2023-05-16
3080,97,539,เทพ9789,,,2023-05-16
3127,69,544,ฮย๔๙๙๗,นั่งส่วนบุคคลไม่เกิน ๗ คน ยี่ห้อ TOYOTA รุ่นFORTUNER รถยนต์นั่งส่วนบุคคลไม่เกิน ๗ คน ยี่ห้อ VOLKSWAGEN รุ่น CARAVELLE TOURING ๒.๐ L,กรุงเทพฯ,2023-05-16
3139,162,550,,ไม่เกิน 7คน,กรุงเทพฯ,2023-05-23
3140,162,550,,นั่งไม่เกิน7 คน,,2023-05-23
3141,162,550,2กฬ4-111,นั่งไม่เกิน 7คน,,2023-05-23
