submitter_id,nacc_id,position_period_type_id,index,position,position_category_type_id,workplace,workplace_location,date_acquiring_type_id,start_date,start_month,start_year,date_ending_type_id,end_date,end_month,end_year,note,latest_submitted_date
40,62,1,0,สมาชิกสภาผู้แทนราษฎร,4,สำนักงานเลขาธิการสภาผู้แทนราษฎร,สำนักงานเลขาธิการสภาผู้แทนราษฎร,1,5,6,2019,4,,,,ตำแหน่งที่ยื่นหน้าที่ยื่นบัญชีฯ,2022-12-13
40,62,3,1,สมาชิกสภาผู้แทนราษฎรแบบบัญชีรายชื่อ,,พรรคพลังประชารัฐ,,1,5,6,2019,1,16,8,2022,,2022-12-13
40,62,3,2,กรรมการบริษัท,,บริษัท แฮปปี้ โปรดักส์ แอนด์ เซอร์วิส จำกัด,,1,7,3,2019,1,27,8,2019,,2022-12-13
40,62,3,3,กรรมการและรองประธานกรรมการ,,บริษัท ฐานเศรษฐกิจ มัลติมีเดีย จำกัด,,1,,,2016,1,5,2,2019,,2022-12-13
80,63,1,0,สมาชิกวุฒิสภา,5,รัฐสภา,รัฐสภา,1,1,10,2022,4,,,,ตำแหน่งที่ยื่นหน้าที่ยื่นบัญชีฯ,2022-12-13
80,63,3,1,,,เจ้ากรมข่าวทหารเรือ กองทัพเรือ,,1,,,2017,4,,,,,2022-12-13
80,63,3,2,รองเสนาธิการทหารเรือ,,กองทัพเรือ,,1,,,2018,4,,,,,2022-12-13
80,63,3,3,,,กองทัพเรือ,,4,,,,4,,,,,2022-12-13
80,63,3,4,รองปลัดกระทรวงกลาโหม,,สำนักงานปลัดกระทรวงกลาโหม,,1,,,2020,4,,,,,2022-12-13
80,63,3,5,รองปลัดกระทรวงกลาโหม,,สำนักงานปลัดกระทรวงกลาโหม,,1,,,2021,4,,,,,2022-12-13
86,66,1,0,สมาชิกวุฒิสภา,5,รัฐสภา,รัฐสภา,1,1,10,2022,4,,,,ตำแหน่งที่ยื่นหน้าที่ยื่นบัญชีฯ,2022-12-13
86,66,3,1,ผู้ช่วยหัวหน้านายทหารฝ่ายเสนาธิการประจำ ผู้บัญชาการทหารอากาศ,,กองทัพอากาศ,,1,,,2016,1,,,2017,,2022-12-13
86,66,3,2,รองผู้บัญชาการกรมควบคุมการปฏิบัติทางอากาศ,,กองทัพอากาศ,,1,,,2017,1,,,2018,,2022-12-13
86,66,3,3,,,ผู้บัญชาการกรมควบคุมการปฏิบัติทางอากาศ กองทัพอากาศ,,1,,,2018,1,,,2020,,2022-12-13
86,66,3,4,ประธานคณะที่ปรึกษากองทัพอากาศ,,กองทัพอากาศ,,1,,,2020,1,,,2021,,2022-12-13
86,66,3,5,ผู้บัญชาการทหารอากาศ สมาชิกวุฒิสภา,,กองทัพอากาศ รัฐสภา กรุงเทพฯ,,1,,,2021,1,,,2022,,2022-12-13
87,70,1,0,สมาชิกวุฒิสภา,5,สำำนักเลขาธิการวุฒิสภา,สำำนักเลขาธิการวุฒิสภา,1,1,4,2018,4,,,,ตำแหน่งที่ยื่นหน้าที่ยื่นบัญชีฯ,2022-12-13
87,70,3,1,รองเจ้ากรมข่าวทหารบก,,กรมข่าวทหารบก ในกองบัญชาการกองทัพบก ถ.ราชดำเนินนอก เขตพระนคร 10200,,4,,,,1,,,2018,,2022-12-13
87,70,3,2,,,เจ้ากรมข่าวทหารบก กรมข่าวทหารบก ในกองบัญชาการกองทัพบก ถ.ราชดำเนินนอก เขตพระนคร 10200,,4,,,,1,,,2019,,2022-12-13
87,70,3,3,รองเสนาธิการทหารบก,,ถ.ราชดำเนินนอก เขตพระนคร 10200 สำนักงานรองเสนาธิการทหารบก ในกองบัญชาการกองทัพบก,,4,,,,1,,,2020,,2022-12-13
87,70,3,4,เสนาธิการทหารบก,,ถ.ราชดำเนินนอก เขตพระนคร 10200 สำนักงานเสนาธิการทหารบก ในกองบัญชาการกองทัพบก,,4,,,,1,,,2021,,2022-12-13
87,70,3,5,,,ปลัดกระทรวงกลาโหม อ.สนามไชย เขตพระนคร 10200 สำนักงานปลัดกระทรวงกลาโหม ศาลาว่าการกลาโหม,,4,,,,1,,,2022,,2022-12-13
88,218,1,0,สมาชิกวุฒิสภา,5,รัฐสภา,รัฐสภา,1,1,11,2022,4,,,,ตำแหน่งที่ยื่นหน้าที่ยื่นบัญชีฯ,2023-01-20
88,218,3,1,สมาชิกสภานิติบัญญัติ สภานิติบัญญัติแห่งชาติ กทม,,,,4,,,,4,,,,,2023-01-20
88,218,3,2,สถาบันเทคโนโลยีป้องกันประเทศ/ กทม,,,,4,,,,4,,,,,2023-01-20
88,218,3,3,ที่ปรึกษาสถาบันเทคใน,,,,4,,,,4,,,,,2023-01-20
88,218,3,4,สมาชิกสภากลาโหม,,กระทรวงคอ มักคาโรม /กทม.,,4,,,,4,,,,,2023-01-20
89,328,1,0,สมาชิกวุฒิสภา,5,รัฐสภา,รัฐสภา,1,6,12,2022,4,,,,ตำแหน่งที่ยื่นหน้าที่ยื่นบัญชีฯ,2023-03-03
89,328,3,1,หัวหน้าสำนักงาน และประธานบริษัท,,บริษัท อมรินทร์กฎหมายและการบัญชี จำกัด,,4,,,,4,,,,,2023-03-03
89,328,3,2,อนุกรรมการ กสทช,,สำนักงาน กสทช.,,4,,,,4,,,,,2023-03-03
89,328,3,3,กรรมการที่ปรึกษากฎหมาย กกต,,สำนักงานคณะกรรมการการเลือกดัง,,4,,,,4,,,,,2023-03-03
90,349,1,0,สมาชิกสภาผู้แทนราษฎร,4,พรรคพลังท้องถิ่นไท,พรรคพลังท้องถิ่นไท,1,29,12,2022,4,,,,ตำแหน่งที่ยื่นหน้าที่ยื่นบัญชีฯ,2023-03-15
