asset_id,submitter_id,nacc_id,index,asset_type_id,asset_type_other,asset_name,date_acquiring_type_id,acquiring_date,acquiring_month,acquiring_year,date_ending_type_id,ending_date,ending_month,ending_year,asset_acquisition_type_id,valuation,owner_by_submitter,owner_by_spouse,owner_by_child,latest_submitted_date
2616,99999,99999,1,36,,โฉนด,1,,,,4,,,,6,6000000,TRUE,FALSE,FALSE,
2617,99999,99999,2,36,,โฉนด,1,,,,4,,,,6,1400000,TRUE,FALSE,FALSE,
2618,99999,99999,3,36,,โฉนด,1,,,,4,,,,6,200000,TRUE,FALSE,FALSE,
2619,99999,99999,1,10,,เขตยานนาวา,1,,,,4,,,,6,650000,TRUE,FALSE,FALSE,
2620,99999,99999,2,37,,อ.แม่ริม จ.เชียงใหม่,1,,,,4,,,,6,2240000,TRUE,FALSE,FALSE,
2621,99999,99999,3,37,,นม.2539,1,,,,4,,,,6,1630000,TRUE,FALSE,FALSE,
2622,99999,99999,1,38,,ยานพาหนะ,1,,,,4,,,,6,600000,TRUE,FALSE,FALSE,
2623,99999,99999,2,38,,ยานพาหนะ,1,,,,4,,,,6,1190000,TRUE,FALSE,FALSE,
2624,99999,99999,3,38,,ยานพาหนะ,1,,,,4,,,,6,950000,TRUE,FALSE,FALSE,
2625,99999,99999,4,38,,ยานพาหนะ,1,,,,4,,,,6,10000,TRUE,FALSE,FALSE,
2626,99999,99999,1,39,,กรมธรรม์เลขที่ 508-8710743 สิทธิการเช่าที่ดินราชพัสดุ,1,1,11,2009,1,,,,6,1760,TRUE,FALSE,FALSE,
2627,99999,99999,2,39,,น.ส.ล.394/2500 สิทธิการเช่าที่ดินราชพัสดุ,1,1,1,2018,1,,,,6,2700,TRUE,FALSE,FALSE,
2628,99999,99999,3,39,,ทะเบียนที่ราชพัสดุ นม.2612 สิทธิการเช่าที่ดินราชพัสดุ,1,1,1,2020,1,,,,6,2700,TRUE,FALSE,FALSE,
2629,99999,99999,1,29,,จำนวนหน่วย ปืนรีวอล์เวอร์ ขนาด 38,1,23,12,2009,4,,,,6,70000,TRUE,FALSE,FALSE,
2630,99999,99999,2,30,,นาฬิกาข้อมือ ยี่ห้อคาร์เทียร์,1,8,1,2023,4,,,,6,240932,TRUE,FALSE,FALSE,
2631,99999,99999,3,31,,กำไรข้อมือ ประดับฝังด้วยเพชร,1,25,12,2020,4,,,,6,171753,TRUE,FALSE,FALSE,
2632,99999,99999,4,31,,แหวนเพชร,1,19,8,2021,4,,,,6,50000,TRUE,FALSE,FALSE,
2633,99999,99999,5,33,,สร้อยคอทองคำ น้ำหนักทอง 5 บาท,2,,,,4,,,,6,147050,TRUE,FALSE,FALSE,
2634,99999,99999,6,33,,สร้อยคอทองคำ น้ำหนักทอง 6 บาท และจี้,2,,,,4,,,,6,276460,TRUE,FALSE,FALSE,
