nacc_id,submitter_id,statement_detail_type_id,index,detail,valuation_submitter,valuation_spouse,valuation_child,note,latest_submitted_date
99999,99999,1,1,เงินเดือน/ค่าตอบแทน,1362720,2360520,,,
99999,99999,6,1,ค่าใช้จ่ายส่วนตัว,720000,600000,,,
99999,99999,6,2,ค่าเช่าคอนโด,,360000,,,
99999,99999,6,3,ค่าเบี้ยประกัน,200000.33,518900,,,
99999,99999,6,4,ค่าภาษีเงินได้เพิ่มเติม,,49160,,,
99999,99999,6,5,ค่าผ่อนคอนโด,187200,,,,
99999,99999,6,6,ค่าจ้างแม่บ้าน,180000,,,,
99999,99999,7,1,เงินได้พึงประเมิน ตามประมวลรัษฎากร,1525170,2360520,,,
99999,99999,8,1,เงินสด,530554.8,212857.78,,,
99999,99999,9,1,เงินฝาก,530554.8,212857.78,,,
99999,99999,10,1,เงินลงทุน,,2923497.79,,,
99999,99999,11,1,เงินให้กู้ยืม,,1600000,,,
99999,99999,12,1,ทรัพย์สิน,6400000,1600000,,,
99999,99999,13,1,โรงเรือนและสิ่งปลูกสร้าง,2800000,4520000,,,
99999,99999,14,1,ยานพาหนะ,600000,2150000,,,
99999,99999,15,1,สิทธิและสัมปทาน,645390.6,424870,,,
99999,99999,16,1,ทรัพย์สินอื่น,4333561,424870,,,
99999,99999,17,1,เงินเบิกเกินบัญชี,1958,17139.21,,,
99999,99999,18,1,เงินกู้จากธนาคารและสถาบันการเงินอื่น,1371926.87,,,,
