nacc_id,submitter_id,statement_detail_type_id,index,detail,valuation_submitter,valuation_spouse,valuation_child,note,latest_submitted_date
99999,99999,1,1,เงินเดือน,49392,42000,,,
99999,99999,1,2,ค่าตอบแทน,955001,,,,
99999,99999,6,1,ค่าอุปโภค บริโภค,4400000,9200000,,,
99999,99999,6,2,ผ่อนที่อยู่อาศัย,20600,,,,
99999,99999,6,3,ผ่อนรถยนต์,587,,,,
99999,99999,6,4,ค่าชำระสหกรณิศร,26746.47,,,,
99999,99999,7,1,เงินได้พึงประเมิน ตามประมวลรัษฎากร,103305,178100,,,
99999,99999,7,2,มาตรา 40(1)-(8),103305,178100,,,
99999,99999,8,1,เงินสด,23496,336859.06,,,
99999,99999,9,1,เงินฝาก,23496,336859.06,,,
99999,99999,12,1,ทรัพย์สิน,,3450000.1,,,
99999,99999,13,1,โรงเรือนและสิ่งปลูกสร้าง,600000000,,,,
99999,99999,14,1,ยานพาหนะ,700000,,,,
99999,99999,18,1,เงินกู้จากธนาคารและสถาบันการเงินอื่น,7294,,,,
